这是冻存盒的序号排列方式
每次更改表格后，把有细胞的位置的数字加粗，取出细胞后对应位置取消加粗。
,,1号盒子,,,,,,,,,,,2号盒子,,,,,,,,,,,3号盒子,,,,,,,,,,,4号盒子,,,,,,,,,,,5号盒子
,,1,2,3,4,5,6,7,8,9,,,1,2,3,4,5,6,7,8,9,,,1,2,3,4,5,6,7,8,9,,,1,2,3,4,5,6,7,8,9,,,1,2,3,4,5,6,7,8,9
,,10,11,12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,17,18
,,19,20,21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,26,27,,,19,20,21,22,23,24,25,26,27
,,28,29,30,31,32,33,34,35,36,,,28,29,30,31,32,33,34,35,36,,,28,29,30,31,32,33,34,35,36,,,28,29,30,31,32,33,34,35,36,,,28,29,30,31,32,33,34,35,36
,,37,38,39,40,41,42,43,44,45,,,37,38,39,40,41,42,43,44,45,,,37,38,39,40,41,42,43,44,45,,,37,38,39,40,41,42,43,44,45,,,37,38,39,40,41,42,43,44,45
,,46,47,48,49,50,51,52,53,54,,,46,47,48,49,50,51,52,53,54,,,46,47,48,49,50,51,52,53,54,,,46,47,48,49,50,51,52,53,54,,,46,47,48,49,50,51,52,53,54
,,55,56,57,58,59,60,61,62,63,,,55,56,57,58,59,60,61,62,63,,,55,56,57,58,59,60,61,62,63,,,55,56,57,58,59,60,61,62,63,,,55,56,57,58,59,60,61,62,63
,,64,65,66,67,68,69,70,71,72,,,64,65,66,67,68,69,70,71,72,,,64,65,66,67,68,69,70,71,72,,,64,65,66,67,68,69,70,71,72,,,64,65,66,67,68,69,70,71,72
,,73,74,75,76,77,78,79,80,81,,,73,74,75,76,77,78,79,80,81,,,73,74,75,76,77,78,79,80,81,,,73,74,75,76,77,78,79,80,81,,,73,74,75,76,77,78,79,80,81







,,,,,,,,,,,,,,,,,,`
